"","year","county","detections","ppt","tmin","tmax","tot_population","med_income","presence","tmean","county_x","county_y","neighbour_detections","presence_t1"
"255",2016,"fulton",0,866.579162597656,5.35438919067383,17.4268608093262,14653,49420,"no detection",11.390625,1506304.08067988,2020773.39999797,0,"no detection"
"256",2017,"fulton",0,1194.71655273438,5.69059133529663,17.214635848999,14631,50007,"no detection",11.4526135921478,1506304.08067988,2020773.39999797,0,"no detection"
"257",2018,"fulton",0,1778.72644042969,5.82097101211548,16.1168689727783,14506,51259,"no detection",10.9689199924469,1506304.08067988,2020773.39999797,0,"no detection"
"258",2019,"fulton",0,1147.71130371094,5.6975359916687,16.9762058258057,14506,53476,"no detection",11.3368709087372,1506304.08067988,2020773.39999797,0,"no detection"
"259",2020,"fulton",0,1080.38781738281,6.04730987548828,17.6808605194092,14492,55424,"no detection",11.8640851974487,1506304.08067988,2020773.39999797,0,"no detection"
"260",2021,"fulton",0,1033.76977539062,5.91232919692993,17.5002040863037,14529,58343,"no detection",11.7062666416168,1506304.08067988,2020773.39999797,5,"detection"
"261",2022,"fulton",1,1112.81213378906,4.61016273498535,17.0234756469727,14545,63153,"detection",10.816819190979,1506304.08067988,2020773.39999797,46,"detection"
"262",2014,"greene",0,978.698669433594,3.19970417022705,15.653736114502,38171,46485,"no detection",9.4267201423645,1331685.00992925,1981394.03791595,0,"no detection"
"263",2015,"greene",0,1067.25219726562,4.41019344329834,17.0572643280029,37938,46661,"no detection",10.7337288856506,1331685.00992925,1981394.03791595,0,"no detection"
"264",2016,"greene",0,1144.98974609375,5.08378124237061,17.7577724456787,37669,49116,"no detection",11.4207768440247,1331685.00992925,1981394.03791595,0,"no detection"
"265",2017,"greene",0,1348.77600097656,5.50393915176392,17.4507865905762,37338,50972,"no detection",11.47736287117,1331685.00992925,1981394.03791595,0,"no detection"
"266",2018,"greene",0,1615.65270996094,5.32997131347656,16.5334281921387,37144,54121,"no detection",10.9316997528076,1331685.00992925,1981394.03791595,1,"no detection"
